config_id,val_mae,epochs_ran,hidden_dim,num_layers,dropout,lr,weight_decay,residual
0,1.2385079860687256,54,16,1,0.0,0.001,0.0001,False
1,1.2392218112945557,41,32,1,0.0,0.001,0.0001,False
2,1.2388954162597656,44,64,1,0.0,0.001,0.0001,False
3,1.23874032497406,30,32,2,0.1,0.001,0.0001,False
4,1.2387655973434448,41,64,2,0.1,0.001,0.0001,False
5,1.239450216293335,27,32,1,0.0,0.0003,0.0001,False
6,1.239502191543579,53,64,1,0.0,0.0003,0.0001,False
7,1.2389799356460571,80,32,1,0.0,0.001,0.0001,True
8,1.2385673522949219,62,64,1,0.0,0.001,0.0001,True
9,1.238445520401001,113,32,2,0.1,0.001,0.0001,True
10,1.2386415004730225,80,64,2,0.1,0.001,0.0001,True
11,1.2391083240509033,45,64,1,0.0,0.0003,0.0001,True
