h,last_value_mae,last_value_mse,rf_rate_mae,rf_rate_mse,prnet_mae,prnet_mse
1,1.6329517364501953,5.578672885894775,1.2072428464889526,2.772566080093384,1.2594887018203735,4.035393714904785
2,1.66124427318573,5.672821521759033,1.2142332792282104,2.7889931201934814,1.263886570930481,4.0542521476745605
3,1.6459167003631592,5.4882636070251465,1.2132041454315186,2.8155293464660645,1.265462040901184,4.056672096252441
4,1.5907948017120361,5.206291675567627,1.2167081832885742,2.8249709606170654,1.2710578441619873,4.104393482208252
5,1.5861014127731323,5.288501262664795,1.2052980661392212,2.797187089920044,1.2694170475006104,4.096726894378662
6,1.6533173322677612,5.578983306884766,1.2150930166244507,2.825117588043213,1.2717143297195435,4.108930587768555
7,1.5595489740371704,5.164831638336182,1.222606897354126,2.843759775161743,1.2726333141326904,4.110694885253906
8,1.6252886056900024,5.523728847503662,1.2155569791793823,2.84318470954895,1.2726333141326904,4.110694885253906
9,1.6106510162353516,5.3957109451293945,1.218131422996521,2.829902172088623,1.2710579633712769,4.108275413513184
10,1.6982814073562622,5.838356018066406,1.2181252241134644,2.838764190673828,1.2710578441619873,4.108275413513184
